"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","calcium, potassium:sodium antiporter activity","GO:0008273","true","0.006784349221549784","2.168491805048436","5","35","2","25177","SLC24A3,SLC24A2"
"GO:MF","calcium:sodium antiporter activity","GO:0005432","false","0.024338425890389443","1.6137075135843597","9","35","2","25177","SLC24A3,SLC24A2"
"GO:MF","calcium:monoatomic cation antiporter activity","GO:0015368","false","0.03039646102075039","1.5171769772013857","10","35","2","25177","SLC24A3,SLC24A2"
"GO:BP","modulation of chemical synaptic transmission","GO:0050804","true","0.00044032572299523387","3.3562259431378463","697","36","9","27205","CPLX4,SLC24A2,ERBB4,GRID2,GRIN3A,CDH11,PLCB1,UNC13C,RELN"
"GO:BP","regulation of trans-synaptic signaling","GO:0099177","false","0.0004456722451925688","3.350984411314401","698","36","9","27205","CPLX4,SLC24A2,ERBB4,GRID2,GRIN3A,CDH11,PLCB1,UNC13C,RELN"
"GO:BP","synaptic signaling","GO:0099536","false","0.000504129151872671","3.297458188236563","941","36","10","27205","CPLX4,SLC24A2,ERBB4,GRID2,CCK,GRIN3A,CDH11,PLCB1,UNC13C,RELN"
"GO:BP","nervous system development","GO:0007399","true","0.0005914818505796655","3.228058577010744","2555","36","15","27205","VSX1,ERBB4,SULF1,GRID2,PTPRM,CCK,NFIA,GNGT1,EPHA3,GRIN3A,CDH11,PLCB1,GPC6,RELN,UNC5D"
"GO:BP","neuron differentiation","GO:0030182","false","0.0007768911918986457","3.109639802392137","1555","36","12","27205","VSX1,ERBB4,GRID2,PTPRM,CCK,NFIA,GNGT1,EPHA3,GRIN3A,CDH11,RELN,UNC5D"
"GO:BP","generation of neurons","GO:0048699","false","0.0012933965164059814","2.8882683131026","1631","36","12","27205","VSX1,ERBB4,GRID2,PTPRM,CCK,NFIA,GNGT1,EPHA3,GRIN3A,CDH11,RELN,UNC5D"
"GO:BP","cell-cell adhesion via plasma-membrane adhesion molecules","GO:0098742","true","0.003255937682744062","2.4873239159140947","280","36","6","27205","PCDH9,GRID2,PTPRM,CDH11,GPC6,UNC5D"
"GO:BP","chemical synaptic transmission","GO:0007268","false","0.0035298872976198474","2.4522391605620824","895","36","9","27205","CPLX4,SLC24A2,ERBB4,GRID2,GRIN3A,CDH11,PLCB1,UNC13C,RELN"
"GO:BP","anterograde trans-synaptic signaling","GO:0098916","false","0.0035298872976198474","2.4522391605620824","895","36","9","27205","CPLX4,SLC24A2,ERBB4,GRID2,GRIN3A,CDH11,PLCB1,UNC13C,RELN"
"GO:BP","trans-synaptic signaling","GO:0099537","false","0.0037633374598247914","2.424426836591465","902","36","9","27205","CPLX4,SLC24A2,ERBB4,GRID2,GRIN3A,CDH11,PLCB1,UNC13C,RELN"
"GO:BP","neurogenesis","GO:0022008","false","0.005496069077946059","2.259947817436449","1871","36","12","27205","VSX1,ERBB4,GRID2,PTPRM,CCK,NFIA,GNGT1,EPHA3,GRIN3A,CDH11,RELN,UNC5D"
"GO:BP","neuron development","GO:0048666","false","0.007414387033821591","2.129924747377691","1266","36","10","27205","VSX1,GRID2,PTPRM,CCK,GNGT1,EPHA3,GRIN3A,CDH11,RELN,UNC5D"
"GO:BP","developmental maturation","GO:0021700","false","0.012536045558905548","1.9018394382094306","354","36","6","27205","VSX1,ERBB4,NFIA,PLCB1,UNC13C,RELN"
"GO:BP","cell junction organization","GO:0034330","true","0.01486341078946615","1.8278815191709015","798","36","8","27205","ERBB4,GRID2,NFIA,EPHA3,CDH11,UNC13C,GPC6,RELN"
"GO:BP","cell-cell signaling","GO:0007267","false","0.01928120946662546","1.7148657272689345","1748","36","11","27205","CPLX4,SLC24A2,ERBB4,SULF1,GRID2,CCK,GRIN3A,CDH11,PLCB1,UNC13C,RELN"
"GO:BP","cell adhesion","GO:0007155","true","0.026498598468815533","1.5767770956237979","1463","36","10","27205","PCDH9,SULF1,GRID2,PTPRM,EPHA3,CDH11,PLCB1,GPC6,RELN,UNC5D"
"GO:BP","synapse maturation","GO:0060074","false","0.028353509783974322","1.5473931736153026","36","36","3","27205","ERBB4,NFIA,RELN"
"GO:BP","ligand-gated ion channel signaling pathway","GO:1990806","true","0.03619283371025075","1.441377412566113","39","36","3","27205","GRID2,GRIN3A,PLCB1"
"GO:BP","cell migration","GO:0016477","true","0.041812544378719604","1.378693403939275","1542","36","10","27205","DACH1,ERBB4,SULF1,PTPRM,CCK,CDH11,PLCB1,GPC6,RELN,UNC5D"
"GO:CC","cell junction","GO:0030054","true","0.004735436806923438","2.324639954551534","2294","36","12","27262","CPLX4,ERBB4,PCDH9,GRID2,PTPRM,CCK,NFIA,GRIN3A,CDH11,PLCB1,UNC13C,GPC6"
"GO:CC","neuron projection","GO:0043005","true","0.007343223504669246","2.1341132530304647","1633","36","10","27262","CPLX4,ABCA4,ERBB4,PCDH9,GRID2,CCK,GNGT1,GRIN3A,UNC13C,RELN"
"GO:CC","cell periphery","GO:0071944","true","0.007771686458041569","2.109484728953518","7048","36","21","27262","CPLX4,ABCA4,P3H2,SLC24A3,KCNH7,SLC24A2,ERBB4,PCDH9,SULF1,GRID2,PTPRM,GNGT1,EPHA3,GSG1,GRIN3A,CDH11,PLCB1,UNC13C,GPC6,RELN,UNC5D"
"GO:CC","plasma membrane","GO:0005886","false","0.010422000555264266","1.9820489080308774","6567","36","20","27262","CPLX4,ABCA4,SLC24A3,KCNH7,SLC24A2,ERBB4,PCDH9,SULF1,GRID2,PTPRM,GNGT1,EPHA3,GSG1,GRIN3A,CDH11,PLCB1,UNC13C,GPC6,RELN,UNC5D"
"GO:CC","glutamatergic synapse","GO:0098978","true","0.0282911101940695","1.5483500097116956","610","36","6","27262","ERBB4,GRID2,GRIN3A,CDH11,PLCB1,GPC6"
"GO:CC","terminal bouton","GO:0043195","true","0.039329938201242656","1.4052767359925007","84","36","3","27262","CPLX4,CCK,UNC13C"
