,1wt,27,2an,2aw,2o,37c,37r,37v,3i,4i,4ow,51,5si,5so,5ti,63,6sn,6sw,72,73,7iv/r/d,82n/wo,82wi,8w,9w
bc1,1.7656375278946572,2.0782568537715074,2.25356320620441,2.324734710079137,2.3213087187521078,-0.4686663949803248,-0.3522610927921177,-0.4519768545080525,1.786638129176425,-0.8797781582430775,-0.8491810193143516,-0.48694973755818377,-1.1122861858621969,-1.0887669822935995,-0.25698506975465546,-0.4916028066650253,-1.1367568016834382,-1.138290393563556,0.39836997040569766,0.1824206974985897,-1.089168178152884,0.010273574909922504,-0.38549929234735036,-1.140228853793821,-1.140228853793821
bc2,2.2143305811399716,1.9600246703820314,2.299651965959189,2.257118328112369,2.1378306478217404,0.2679090242615175,0.42687053703957906,0.30496116363984144,2.1651732503655534,-0.4701234395971768,-0.43787777750496987,-0.31839791654191446,-1.0703436194404992,-1.0547403634953172,-0.05187946495210792,0.1871629110904204,-1.1333147582236607,-1.137492007406042,0.22758117623705187,0.21205169323411208,-1.0232630391012105,-0.02873698235147641,-0.46532762719017534,-1.1402288537938212,-1.1402288537938212
bc3a,0.014845106178272737,-0.06260360852853875,0.4859034010348807,-0.15801741937997643,-0.3939488764257552,0.6360289089479619,0.717180240268378,0.7103339867527123,1.1608617775784178,2.1023631026997145,2.2923820371632044,0.018219736341822432,-0.377673391676562,-0.5011924856552584,0.5379761096382397,1.3878016153188588,-1.055765611614644,-1.100811418007114,-0.6078630874727541,-0.046697397406943605,-0.9264254061684769,-0.7093792701021071,-0.9216957538891661,-1.1402288537938214,-1.1402288537938212
bc3b,0.11887224327120462,0.04632755258003274,0.5846650058774967,-0.036917406709992155,-0.25739508310080633,0.49679673892041326,0.5892197901388568,0.5664474074772856,1.1881703220909505,2.0079667383268203,2.162495640549577,0.0794639495171396,-0.33575058576328953,-0.45354331259932507,0.5743312031767049,1.2918976859893656,-1.0514645390816895,-1.0983414466632895,-0.5617945002400893,-0.025701752065322575,-0.9378625007565211,-0.6704516591758282,-0.894767857359307,-1.140228853793821,-1.140228853793821
bc4,0.47143243081941016,0.4025177428219408,0.944174864479441,0.3551283590114547,0.09407857093419408,0.7229664252252482,0.8368944860009373,0.7929927191382148,1.5424723951209338,1.8288272983235458,1.9084078286941084,0.22997024062895913,-0.2749363524529232,-0.32453035102104927,0.7301568839455577,1.4133304306665582,-1.0393034427153178,-1.086603837785342,-0.4050103348730736,0.11493606166567613,-0.9233054475959508,-0.547103046591241,-0.8216111540204081,-1.1402288537938208,-1.140228853793821
bc5i,-0.8516849114334101,-0.5468388306773048,-0.7862807578591764,-0.8131430700682956,-0.8192164620349519,0.18108501746938907,0.035943186774313726,0.09877165746982616,-0.7108576291482385,-0.7139362429679323,-0.897754451382357,-0.07057355243014002,0.9024592682158288,-0.34390236116084877,0.04433537319487425,1.2686669779411275,2.5802731999641533,2.4470516469345975,-0.382388312852508,0.47058359795097143,0.9323476077901066,-0.707757263522095,-0.8674205473329004,-1.073276794918785,-1.1210799868061276
bc5o,-0.8553143590624334,-0.6205459630411635,-0.7495120926585213,-0.8146761806814131,-0.7964499345035156,-0.2506778019128115,-0.3517108279313833,-0.30780824860955086,-0.6943855762147089,-0.5285966049072142,-0.8591127520931813,0.8132895339446173,1.6833525466322046,0.6869467878497846,0.9413627136810119,1.2806641555367146,2.4192368883159867,2.31504650595471,-0.5715651152796167,0.24468553696283288,0.13772503264099042,-0.7032601296963151,-0.9194512853755414,-1.1016456975854338,-1.1329771184876563
bc5t,-0.856793350929593,-0.5744591178525211,-0.7237074727057589,-0.8155246066868885,-0.7915748172273567,0.21666452336193023,0.09178343335814715,0.15293700924335787,-0.6763522743921361,-0.40439856055958245,-0.8384786788941502,1.2944128417812315,1.877091480094289,1.3301397356571198,1.3435381209188373,1.24298484416219,1.8981206651799563,1.6095631293972759,-0.39294833512701766,0.5296892877118847,0.8742166827274522,-0.6506428543841399,-0.8783013083371107,-1.0877858896024204,-1.1287140874944919
bc6,-0.5739955164072692,0.10617614933553685,-0.5213395073446643,-0.5458168269105103,-0.5977081479248404,-0.46827535815968996,-0.4863161000007149,-0.457389078956838,-0.4577824999365854,-0.5692996372932007,-0.7397146526270809,-0.16292379149806197,0.009814782554963406,-0.3883085558589919,-0.16537096289239084,-0.036142674721071834,0.09461146772228517,0.1951767447814916,0.6389116673921356,0.835000483984126,-0.11622692212509234,1.768752469754664,2.0183407282010535,1.9535026327564027,1.7399481119921572
bc7,-0.9278824102729707,0.2955813268181833,-0.885757467930212,-0.8580432601658352,-0.8974675109535672,-0.4345540282454225,-0.46394289516226295,-0.3897777030965709,-0.747087729800816,-0.8964153009230061,-0.9825866117319688,-0.7583894823574475,-0.5585344164928666,-0.8767163283999827,-0.7555514094700697,-0.5919074120461141,-0.5752012167906021,-0.33745748109499596,2.34351116448938,2.04227380566585,0.7360150873838499,0.7624733721172109,1.1750102145968333,0.019429942177035524,-0.27827303187526276
